naics3,2017_china_trade
111,616881496.0
112,37346219.0
113,236869798.0
114,2323794643.0
211,1397256.0
212,239909895.0
311,3604826527.0
312,65778368.0
313,2629235572.0
314,10823400196.0
315,29688972924.0
316,20975236584.0
321,4075938663.0
322,2991011719.0
323,2937856987.0
324,405153158.0
325,15606053923.0
326,16979128869.0
327,7768775820.0
331,4211507588.0
332,22776254915.0
333,29902948349.0
334,192237046786.0
335,42176293045.0
336,20397483233.0
337,21955395513.0
339,41418386432.0
910,137654766.0
930,322416055.0
990,12376769.0
